微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
JhV80ekt1,想知道大三可以去义教吗？有什么方式可以去呢 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-28 01:45,Hi聊,1,1,3
JhV3YB8l7,希望做创新的教育模式和理念，比如stream，但是现在的学校（某地级市公立）应试形式盛行，本人想辞去编制，做自己想做的事，因为实在煎熬 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-28 01:36,Hi聊,2,0,7
JhUKAt46c,啥时候开学 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-28 00:48,Hi聊,7,0,3
JhUxHffT3,康庄大道，________。 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-28 00:16,Hi聊,0,0,1
JhUvfDQD8,好好学习天天向上 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-28 00:10,Hi聊,0,0,0
JhUte51YE,晚安各位。 http://t.cn/RBaFzxp  原图 ,,http://wx2.sinaimg.cn/large/006gRmAaly1gi5tga2hskj30u03sjk3r.jpg,无,无,2020-08-28 00:05,Hi聊,19,0,7
JhUqFo9HS,谁缺考研合租的舍友呀，本人女，很需要合租的的舍友，谁缺舍友呀？或者有哪里比较好的宿舍可以推荐的呀？ http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 23:59,Hi聊,3,0,4
JhUmowTN4,愿中国青年都摆脱冷气，只是向上走，不必听自暴自弃者流的话。能做事的做事，能发声的发声。有一分热，发一分光，就令萤火一般，也可以在黑暗里发一点光，不必等候炬火。——鲁迅《热风·随感录四十一》... http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 23:48,Hi聊,10,0,0
JhU9YhGIR,援藏是大几可以申请的？大三大四可以吗？公费还是自费？现在第十一批出发了，第十二批几时可以报名？去多久？一个月麽？知道的同学可以一个一个问题细告诉我么 谢谢了 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 23:18,Hi聊,0,0,7
JhU6ymedd,开学图书馆自习室or其他位置会放书吗？应该不会有疫情之前放好的书吧？如果有，我都想偷了 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 23:09,Hi聊,0,0,5
JhTTm9iVM,紫竹有得搬宿舍么😅 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 22:37,Hi聊,3,0,8
JhTHC77n0,请问各位兄弟姐妹，南区碧桂是四人间还是六人间？ http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 22:08,Hi聊,0,0,3
JhTBjEBpu,想问问已经上学的同学或者知道情况的同学，学校封闭管理的话快递能进校吗？什么快递能进？ http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 21:52,Hi聊,3,0,6
JhTvqtcp2,你们都是怎么预约HPV疫苗的啊？我怎么查都没有。另外身份证弄大几年的，刚好超过九价年龄，还可以预约打吗？ http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 21:38,Hi聊,1,0,6
JhTp9lKeY,搬宿舍我倒也没意见，刚好大半年没返校，顺便把宿舍物品清理一下。就是希望一起搬能转开，别tm我把东西搬过去了，宿舍宿舍还没腾出来0.0 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 21:22,Hi聊,1,0,0
JhTiqCzpn,想问大家都买票了吗 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 21:06,Hi聊,30,0,10
JhT6Eu1tW,深思熟虑nm http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 20:37,Hi聊,4,0,0
JhSZMpcOM,如果国庆封闭不允许外出，萌新会不会哭？在一个陌生的地方圈禁疗养晒伤的皮肤 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 20:20,Hi聊,1,0,2
JhSZE8SLC,回学校能收快递吗？为什么啥也不知道？搬宿舍什么的？？醉了醉了 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 20:19,Hi聊,0,0,1
